,X,Y,type,StateCode,StateName
0,-80.518598,40.636951,Polygon,WV,West Virginia
1,-80.518598,39.722302,Polygon,WV,West Virginia
2,-79.477979,39.722302,Polygon,WV,West Virginia
3,-79.488933,39.20747,Polygon,WV,West Virginia
4,-79.291763,39.300578,Polygon,WV,West Virginia
5,-79.094593,39.470363,Polygon,WV,West Virginia
6,-78.963147,39.437501,Polygon,WV,West Virginia
7,-78.765977,39.585379,Polygon,WV,West Virginia
8,-78.470222,39.514178,Polygon,WV,West Virginia
9,-78.431884,39.623717,Polygon,WV,West Virginia
10,-78.267575,39.61824,Polygon,WV,West Virginia
11,-78.174467,39.694917,Polygon,WV,West Virginia
12,-78.004682,39.601809,Polygon,WV,West Virginia
13,-77.834897,39.601809,Polygon,WV,West Virginia
14,-77.719881,39.322485,Polygon,WV,West Virginia
15,-77.82942,39.130793,Polygon,WV,West Virginia
16,-78.349729,39.464886,Polygon,WV,West Virginia
17,-78.404499,39.169131,Polygon,WV,West Virginia
18,-78.870039,38.763838,Polygon,WV,West Virginia
19,-78.996008,38.851469,Polygon,WV,West Virginia
20,-79.209609,38.495467,Polygon,WV,West Virginia
21,-79.313671,38.413313,Polygon,WV,West Virginia
22,-79.477979,38.457129,Polygon,WV,West Virginia
23,-79.647764,38.594052,Polygon,WV,West Virginia
24,-79.724442,38.364021,Polygon,WV,West Virginia
25,-79.921611,38.177805,Polygon,WV,West Virginia
26,-79.998289,37.997066,Polygon,WV,West Virginia
27,-80.184505,37.849189,Polygon,WV,West Virginia
28,-80.294043,37.690357,Polygon,WV,West Virginia
29,-80.29952,37.509618,Polygon,WV,West Virginia
30,-80.474782,37.421987,Polygon,WV,West Virginia
31,-80.513121,37.482234,Polygon,WV,West Virginia
32,-80.967707,37.290541,Polygon,WV,West Virginia
33,-81.225123,37.235771,Polygon,WV,West Virginia
34,-81.362047,37.339833,Polygon,WV,West Virginia
35,-81.55374,37.208387,Polygon,WV,West Virginia
36,-81.679709,37.20291,Polygon,WV,West Virginia
37,-81.849494,37.285064,Polygon,WV,West Virginia
38,-81.986418,37.454849,Polygon,WV,West Virginia
39,-81.969987,37.537003,Polygon,WV,West Virginia
40,-82.101434,37.553434,Polygon,WV,West Virginia
41,-82.293127,37.668449,Polygon,WV,West Virginia
42,-82.342419,37.783465,Polygon,WV,West Virginia
43,-82.50125,37.931343,Polygon,WV,West Virginia
44,-82.621743,38.123036,Polygon,WV,West Virginia
45,-82.594358,38.424267,Polygon,WV,West Virginia
46,-82.331465,38.446175,Polygon,WV,West Virginia
47,-82.293127,38.577622,Polygon,WV,West Virginia
48,-82.172634,38.632391,Polygon,WV,West Virginia
49,-82.221926,38.785745,Polygon,WV,West Virginia
50,-82.03571,39.026731,Polygon,WV,West Virginia
51,-81.887833,38.873376,Polygon,WV,West Virginia
52,-81.783771,38.966484,Polygon,WV,West Virginia
53,-81.811156,39.0815,Polygon,WV,West Virginia
54,-81.685186,39.273193,Polygon,WV,West Virginia
55,-81.57017,39.267716,Polygon,WV,West Virginia
56,-81.455155,39.410117,Polygon,WV,West Virginia
57,-81.345616,39.344393,Polygon,WV,West Virginia
58,-81.219646,39.388209,Polygon,WV,West Virginia
59,-80.830783,39.711348,Polygon,WV,West Virginia
60,-80.737675,40.078303,Polygon,WV,West Virginia
61,-80.600752,40.319289,Polygon,WV,West Virginia
62,-80.595275,40.472643,Polygon,WV,West Virginia
63,-80.666475,40.582182,Polygon,WV,West Virginia
64,-80.518598,40.636951,Polygon,WV,West Virginia
65,-80.978661,36.562108,Polygon,NC,North Carolina
66,-80.294043,36.545677,Polygon,NC,North Carolina
67,-79.510841,36.5402,Polygon,NC,North Carolina
68,-75.868676,36.551154,Polygon,NC,North Carolina
69,-75.75366,36.151337,Polygon,NC,North Carolina
70,-76.032984,36.189676,Polygon,NC,North Carolina
71,-76.071322,36.140383,Polygon,NC,North Carolina
72,-76.410893,36.080137,Polygon,NC,North Carolina
73,-76.460185,36.025367,Polygon,NC,North Carolina
74,-76.68474,36.008937,Polygon,NC,North Carolina
75,-76.673786,35.937736,Polygon,NC,North Carolina
76,-76.399939,35.987029,Polygon,NC,North Carolina
77,-76.3616,35.943213,Polygon,NC,North Carolina
78,-76.060368,35.992506,Polygon,NC,North Carolina
79,-75.961783,35.899398,Polygon,NC,North Carolina
80,-75.781044,35.937736,Polygon,NC,North Carolina
81,-75.715321,35.696751,Polygon,NC,North Carolina
