X,Y,code,name,type,continent
61.210817,35.650072,AFG,Afghanistan,Polygon,Asia
62.230651,35.270664,AFG,Afghanistan,Polygon,Asia
62.984662,35.404041,AFG,Afghanistan,Polygon,Asia
63.193538,35.857166,AFG,Afghanistan,Polygon,Asia
63.982896,36.007957,AFG,Afghanistan,Polygon,Asia
64.546479,36.312073,AFG,Afghanistan,Polygon,Asia
64.746105,37.111818,AFG,Afghanistan,Polygon,Asia
65.588948,37.305217,AFG,Afghanistan,Polygon,Asia
65.745631,37.661164,AFG,Afghanistan,Polygon,Asia
66.217385,37.39379,AFG,Afghanistan,Polygon,Asia
66.518607,37.362784,AFG,Afghanistan,Polygon,Asia
67.075782,37.356144,AFG,Afghanistan,Polygon,Asia
67.83,37.144994,AFG,Afghanistan,Polygon,Asia
68.135562,37.023115,AFG,Afghanistan,Polygon,Asia
68.859446,37.344336,AFG,Afghanistan,Polygon,Asia
69.196273,37.151144,AFG,Afghanistan,Polygon,Asia
69.518785,37.608997,AFG,Afghanistan,Polygon,Asia
70.116578,37.588223,AFG,Afghanistan,Polygon,Asia
70.270574,37.735165,AFG,Afghanistan,Polygon,Asia
70.376304,38.138396,AFG,Afghanistan,Polygon,Asia
70.806821,38.486282,AFG,Afghanistan,Polygon,Asia
71.348131,38.258905,AFG,Afghanistan,Polygon,Asia
71.239404,37.953265,AFG,Afghanistan,Polygon,Asia
71.541918,37.905774,AFG,Afghanistan,Polygon,Asia
71.448693,37.065645,AFG,Afghanistan,Polygon,Asia
71.844638,36.738171,AFG,Afghanistan,Polygon,Asia
72.193041,36.948288,AFG,Afghanistan,Polygon,Asia
72.63689,37.047558,AFG,Afghanistan,Polygon,Asia
73.260056,37.495257,AFG,Afghanistan,Polygon,Asia
73.948696,37.421566,AFG,Afghanistan,Polygon,Asia
74.980002,37.41999,AFG,Afghanistan,Polygon,Asia
75.158028,37.133031,AFG,Afghanistan,Polygon,Asia
74.575893,37.020841,AFG,Afghanistan,Polygon,Asia
74.067552,36.836176,AFG,Afghanistan,Polygon,Asia
72.920025,36.720007,AFG,Afghanistan,Polygon,Asia
71.846292,36.509942,AFG,Afghanistan,Polygon,Asia
71.262348,36.074388,AFG,Afghanistan,Polygon,Asia
71.498768,35.650563,AFG,Afghanistan,Polygon,Asia
71.613076,35.153203,AFG,Afghanistan,Polygon,Asia
71.115019,34.733126,AFG,Afghanistan,Polygon,Asia
71.156773,34.348911,AFG,Afghanistan,Polygon,Asia
70.881803,33.988856,AFG,Afghanistan,Polygon,Asia
69.930543,34.02012,AFG,Afghanistan,Polygon,Asia
70.323594,33.358533,AFG,Afghanistan,Polygon,Asia
69.687147,33.105499,AFG,Afghanistan,Polygon,Asia
69.262522,32.501944,AFG,Afghanistan,Polygon,Asia
69.317764,31.901412,AFG,Afghanistan,Polygon,Asia
68.926677,31.620189,AFG,Afghanistan,Polygon,Asia
68.556932,31.71331,AFG,Afghanistan,Polygon,Asia
67.792689,31.58293,AFG,Afghanistan,Polygon,Asia
67.683394,31.303154,AFG,Afghanistan,Polygon,Asia
66.938891,31.304911,AFG,Afghanistan,Polygon,Asia
66.381458,30.738899,AFG,Afghanistan,Polygon,Asia
66.346473,29.887943,AFG,Afghanistan,Polygon,Asia
65.046862,29.472181,AFG,Afghanistan,Polygon,Asia
64.350419,29.560031,AFG,Afghanistan,Polygon,Asia
64.148002,29.340819,AFG,Afghanistan,Polygon,Asia
63.550261,29.468331,AFG,Afghanistan,Polygon,Asia
62.549857,29.318572,AFG,Afghanistan,Polygon,Asia
60.874248,29.829239,AFG,Afghanistan,Polygon,Asia
61.781222,30.73585,AFG,Afghanistan,Polygon,Asia
61.699314,31.379506,AFG,Afghanistan,Polygon,Asia
60.941945,31.548075,AFG,Afghanistan,Polygon,Asia
60.863655,32.18292,AFG,Afghanistan,Polygon,Asia
60.536078,32.981269,AFG,Afghanistan,Polygon,Asia
60.9637,33.528832,AFG,Afghanistan,Polygon,Asia
60.52843,33.676446,AFG,Afghanistan,Polygon,Asia
60.803193,34.404102,AFG,Afghanistan,Polygon,Asia
61.210817,35.650072,AFG,Afghanistan,Polygon,Asia
16.326528,-5.87747,AGO,Angola,MultiPolygon,Africa
16.57318,-6.622645,AGO,Angola,MultiPolygon,Africa
16.860191,-7.222298,AGO,Angola,MultiPolygon,Africa
17.089996,-7.545689,AGO,Angola,MultiPolygon,Africa
17.47297,-8.068551,AGO,Angola,MultiPolygon,Africa
18.134222,-7.987678,AGO,Angola,MultiPolygon,Africa
18.464176,-7.847014,AGO,Angola,MultiPolygon,Africa
19.016752,-7.988246,AGO,Angola,MultiPolygon,Africa
19.166613,-7.738184,AGO,Angola,MultiPolygon,Africa
19.417502,-7.155429,AGO,Angola,MultiPolygon,Africa
20.037723,-7.116361,AGO,Angola,MultiPolygon,Africa
20.091622,-6.94309,AGO,Angola,MultiPolygon,Africa
20.601823,-6.939318,AGO,Angola,MultiPolygon,Africa
20.514748,-7.299606,AGO,Angola,MultiPolygon,Africa
21.728111,-7.290872,AGO,Angola,MultiPolygon,Africa
21.746456,-7.920085,AGO,Angola,MultiPolygon,Africa
21.949131,-8.305901,AGO,Angola,MultiPolygon,Africa
21.801801,-8.908707,AGO,Angola,MultiPolygon,Africa
21.875182,-9.523708,AGO,Angola,MultiPolygon,Africa
22.208753,-9.894796,AGO,Angola,MultiPolygon,Africa
22.155268,-11.084801,AGO,Angola,MultiPolygon,Africa
22.402798,-10.993075,AGO,Angola,MultiPolygon,Africa
22.837345,-11.017622,AGO,Angola,MultiPolygon,Africa
23.456791,-10.867863,AGO,Angola,MultiPolygon,Africa
23.912215,-10.926826,AGO,Angola,MultiPolygon,Africa
24.017894,-11.237298,AGO,Angola,MultiPolygon,Africa
23.904154,-11.722282,AGO,Angola,MultiPolygon,Africa
24.079905,-12.191297,AGO,Angola,MultiPolygon,Africa
23.930922,-12.565848,AGO,Angola,MultiPolygon,Africa
24.016137,-12.911046,AGO,Angola,MultiPolygon,Africa
21.933886,-12.898437,AGO,Angola,MultiPolygon,Africa
21.887843,-16.08031,AGO,Angola,MultiPolygon,Africa
22.562478,-16.898451,AGO,Angola,MultiPolygon,Africa
23.215048,-17.523116,AGO,Angola,MultiPolygon,Africa
21.377176,-17.930636,AGO,Angola,MultiPolygon,Africa
18.956187,-17.789095,AGO,Angola,MultiPolygon,Africa
18.263309,-17.309951,AGO,Angola,MultiPolygon,Africa
14.209707,-17.353101,AGO,Angola,MultiPolygon,Africa
14.058501,-17.423381,AGO,Angola,MultiPolygon,Africa
13.462362,-16.971212,AGO,Angola,MultiPolygon,Africa
12.814081,-16.941343,AGO,Angola,MultiPolygon,Africa
12.215461,-17.111668,AGO,Angola,MultiPolygon,Africa
11.734199,-17.301889,AGO,Angola,MultiPolygon,Africa
11.640096,-16.673142,AGO,Angola,MultiPolygon,Africa
11.778537,-15.793816,AGO,Angola,MultiPolygon,Africa
12.123581,-14.878316,AGO,Angola,MultiPolygon,Africa
12.175619,-14.449144,AGO,Angola,MultiPolygon,Africa
12.500095,-13.5477,AGO,Angola,MultiPolygon,Africa
12.738479,-13.137906,AGO,Angola,MultiPolygon,Africa
13.312914,-12.48363,AGO,Angola,MultiPolygon,Africa
13.633721,-12.038645,AGO,Angola,MultiPolygon,Africa
13.738728,-11.297863,AGO,Angola,MultiPolygon,Africa
13.686379,-10.731076,AGO,Angola,MultiPolygon,Africa
13.387328,-10.373578,AGO,Angola,MultiPolygon,Africa
13.120988,-9.766897,AGO,Angola,MultiPolygon,Africa
12.87537,-9.166934,AGO,Angola,MultiPolygon,Africa
12.929061,-8.959091,AGO,Angola,MultiPolygon,Africa
13.236433,-8.562629,AGO,Angola,MultiPolygon,Africa
