Country Code,2010,2011,2012
AFG,15936784437.223999,17870159081.787,20506795254.4884
AGO,82470894868.3337,104115867663.45801,115341559475.426
ALB,11926957254.6288,12890866742.6533,12344529628.0617
ARE,286049293398.98303,347454060299.355,372313965706.545
ARG,462703793707.187,557727273772.913,603153016502.593
ARM,9260287416.06014,10142342769.9464,9958217880.337759
AUS,1141267760188.09,1388066356092.35,1534425905762.81
AUT,389656071767.183,429099514393.36,407575161127.056
AZE,52902703376.1056,65951627200.2026,68730906313.6456
BDI,2026864414.4687102,2355652063.58605,2472384864.14914
BEL,484404271608.08795,528237749142.039,498853259612.046
BEN,6561782312.61826,7289779658.41287,7543183758.87361
BFA,9209288383.087109,10395757480.2301,10726305449.6118
BGD,115279077465.226,128637938711.386,133355744562.539
BGR,48669060511.7098,55765057234.2695,52588115104.1324
BHS,7910000000.0,7931000000.0,8219000000.0
BIH,16847493058.8474,18318439121.4727,16906005781.1063
BLR,55220932613.958,59734593904.6402,63615445566.8483
BLZ,1397113450.0,1487005600.0,1573867300.0
BMU,5744414000.0,5550771000.0,5473536000.0
BOL,19649631308.1648,23948541156.1194,27035110130.246002
BRA,2143067871759.89,2476694763271.16,2248780912395.68
BRN,12369708858.9029,16691360399.1059,16953952625.403
BTN,1585396256.12316,1820207625.80217,1823692109.61652
BWA,13746712711.2118,15365212952.7072,14537486274.1538
CAF,1986014759.19785,2195599491.1697803,2169706411.4779897
CAN,1614072093764.07,1778632046932.59,1821445449562.2
CHE,581208562423.374,696278717728.1371,666100606813.394
CHL,217501911333.70898,251162316597.84302,266259263033.37302
CHN,5930502270312.98,7321891954608.06,8229490030099.96
CIV,24884503950.6814,25381617035.7012,27098590232.3209
CMR,23622482954.804,26587310733.5738,26472054176.1664
COG,12007880067.4395,14425606793.3651,13677929161.7142
COL,287018184637.529,335415156702.18604,370328075210.144
CRI,36298327669.8974,41237296806.8532,45374788701.1671
CUB,64328220000.0,68233900000.0,
CYP,23132450331.1258,24851264943.0081,22766912960.0
CZE,207016402026.36398,227307241312.732,206751372749.33
DEU,3412008772736.86,3752109943533.54,3533242461467.05
DJI,1128611700.3618,1239144501.77525,1353632941.5207
DNK,319812413596.903,341497953096.868,322276544469.312
DOM,53042943731.135994,58145330250.3688,60331668442.6699
DZA,161207304960.455,199070864637.558,204331017992.08
ECU,69555367000.0,79276664000.0,87623411000.0
EGY,218887812549.851,236000735704.439,262831912586.538
ERI,2117039510.7019398,2607739837.39837,3091967479.6748
ESP,1431587612302.26,1494598106576.36,1355732589969.33
EST,19479012423.353,22803433932.9544,22660754203.7911
ETH,29933790334.3418,31952763089.33,43310721414.0829
FIN,247799815768.477,273674236772.815,255776225885.226
FJI,3140508835.9485,3646423265.67031,3849824012.5146704
FRA,2646837111794.78,2862680142625.14,2686722589269.73
GAB,14569527124.6199,18796191833.0851,17843815459.3005
GBR,2407933767804.59,2591846114476.31,2614946487602.81
GEO,11638536834.4274,14434619982.2117,15846474595.773
GHA,32174839712.7933,39564771637.3979,41740926505.1183
GIN,4735956475.83382,5067360041.10404,5651088170.28606
GMB,951827284.9179491,904256027.7135099,912427787.3959891
GNB,847491366.8867741,1103652041.22031,958857944.2210039
GNQ,11582917790.3046,15725711943.066002,16496531232.9983
GRC,299598056253.272,288803062127.739,249525371463.23398
GRL,,,
GTM,41337958251.632,47654841112.8523,50388454861.1111
GUY,2259288396.24467,2576602497.3347898,2851154075.95385
HND,15839344591.9842,17710325578.4449,18564264544.5129
HRV,59643818181.8182,62241414803.0317,56479515971.9018
HTI,6622541528.56888,7516834160.25277,7890216507.68913
HUN,129585601615.851,139439620999.229,126824840351.68901
IDN,709190823319.754,845931645338.695,876719347689.155
IND,1708458876829.92,1880100141185.06,1858744737180.48
IRL,218435251789.115,237771734260.43,221966026813.525
IRN,422567967404.512,528426099488.52203,502729273637.90295
IRQ,138516722649.573,185749664444.44397,216044306775.3
ISL,13261035516.5574,14665793477.193998,14182614909.3138
ISR,232907996790.58603,258417551704.863,257206359086.07602
ITA,2126620402889.09,2278230390029.84,2091760740477.18
JAM,13230844040.0431,14433926128.591002,14794802080.8803
JOR,26425379436.6197,28840263380.2817,31015239545.2
JPN,5495387182996.1,5905630870455.11,5954476603961.52
KAZ,148047348240.643,188048960311.225,203517198088.691
KEN,40000138830.8674,41954989657.7777,50334699324.2604
KGZ,4794357795.07139,6197766118.59856,6605139933.410629
KHM,11242266333.9323,12829541141.0127,14054443213.4639
KOR,1094499350178.46,1202463655509.6,1222807167488.95
KWT,115428557470.181,154032229427.959,174044699037.43
LAO,7181441151.89497,8254088066.90414,9359185244.24597
LBN,38009950248.7562,40078938640.1327,43205095854.062996
LBR,1292696475.95873,1537753884.5750198,1733828404.74142
LBY,74755288916.9561,34699395523.6073,81873662518.8238
LKA,49567521669.9098,59178013927.8285,59393056426.3323
LSO,2175685680.8309603,2487352967.54638,2328196274.79655
LTU,36709511568.1234,43083067994.0349,42343559195.8302
LUX,52143650382.9908,58956127431.0826,56292381076.327995
LVA,24009680459.9868,28480338367.6157,28372577696.5265
MAR,90770671431.6696,99211339029.2806,95903690325.5715
MDA,5811604051.96737,7016162818.43742,7284686576.2835
MDG,8729936135.744879,9892702357.56691,9919780221.93198
MEX,1051627949327.0,1170085556895.86,1186460890129.93
MKD,9338674078.31276,10395222333.7584,9576482628.00609
MLI,9422267259.9894,10647545670.1763,10340794110.1366
MLT,8163841059.60265,9302057269.94718,8863076923.07692
MMR,,,
MNE,4114881346.94419,4501753897.55011,4045813953.4883704
MNG,6200357070.1148,8761426370.558771,10321968594.7799
MOZ,10165353591.1673,13244880034.8481,14952946846.3451
MRT,3526947608.8832603,4136083638.0982704,3958702640.0782104
MWI,5398616984.59149,5627898036.56304,4240492848.82334
MYS,247533525517.698,289548374436.865,305263811733.188
NAM,11281996426.0438,12412389467.3036,13037393422.6553
NCL,,,
NER,5718589550.16349,6409169698.10695,6611341028.98716
NGA,369062403181.945,411743801711.642,462979245902.41296
NIC,8938209651.439379,9898576240.9529,10644947614.7401
NLD,836389937229.197,893757287201.688,823139235420.9591
NOR,420945705225.424,490806911071.27704,500029909755.049
NPL,15994094606.9709,18850351852.8989,19206800719.3069
NZL,143466743661.01,163841244615.035,171461397175.936
OMN,58641352878.4278,69521977153.3923,77497269805.4572
PAK,177165635077.065,213587413183.996,224383620829.57
PAN,28814100000.0,33270500000.0,37956200000.0
PER,148522810971.50198,170564249004.954,192628494178.35397
PHL,199589447424.07397,224142872191.20398,250240023744.45898
PNG,9480047958.808392,12393604089.4569,15653921367.2759
POL,476687891752.065,524362764952.072,496205742361.431
PRI,98381268000.0,100351670000.0,101080738000.0
PRK,,,
PRT,238303443425.21,244895101712.45102,218000200299.73
PRY,20030529733.4432,25071193102.1055,24611040342.6795
QAT,125122249141.25099,169804665435.92902,190289829680.715
ROU,164792252745.52402,182610666615.642,169396055590.796
RUS,1524916112078.87,1904793021649.09,2017470930421.08
RWA,5698548923.48065,6406727020.12819,7219656633.862809
SAU,526811466666.66705,669506666666.667,733955733333.333
SDN,65632081240.302,67320779804.4854,63152209705.4893
SEN,12932427724.317,14440676498.0708,14045680426.6265
SLB,681587104.773714,868574141.232093,989911515.8760359
SLE,2578159495.5593,2925391429.79832,3529350504.3838205
SLV,21418300000.0,23139000000.0,23813600000.0
SOM,,,
SRB,39368633038.1209,46462547041.1781,40791444602.9009
SSD,15728045817.4245,18831595688.2841,10368813559.321999
SUR,4368398047.64333,4423194614.44308,5013030303.0303
SVK,89011919205.298,97525386433.1387,92746685082.8729
SVN,47972988741.7219,51248860578.2597,46262305280.7401
SWE,488377689564.921,563109663291.177,543880647757.404
