Country Code,2010,2011,2012
AFG,561.1976175215,613.9791916088,687.5813677197999
AGO,4218.6491255738,5159.2338770495,5539.800724305799
ALB,4175.121637873401,4556.1439809585,4406.1153386348
ARE,33885.9254421301,38930.0081813523,40444.0669873913
ARG,11460.3761475933,13693.7037865724,14679.9252351628
ARM,3124.784854125,3421.7045092461,3353.9731251312
AUS,51800.931389540994,62133.677533229806,67524.7605280262
AUT,46444.184444030994,51045.677950461904,48348.2320594478
AZE,5842.8057835858,7189.6912292077,7393.7718769762
BDI,219.52979945080003,246.91432710689998,251.01452298560002
BEL,44358.2606374721,47814.0830509866,44827.6628331227
BEN,690.0022810808999,745.3918674587,750.5131242448
BFA,592.6074699206,649.9252299864,651.6533150969
BGD,762.80373951,841.5274954733001,862.0538952564999
BGR,6580.8138748071,7588.8089418803,7198.045618018299
BHS,21941.8693030197,21649.8194256014,22096.4619851597
BIH,4380.6042854269,4771.2692817828,4409.5921196777
BLR,5818.8548592157995,6305.7736624765,6721.8349077397
BLZ,4527.3366386364005,4701.5479954471,4856.7157316546
BMU,88207.3275597322,85973.158416455,84470.7552702244
BOL,1934.6660667447,2319.5959837182,2575.6836947783
BRA,10978.260238245,12576.195587686101,11319.9737099115
BRN,30880.344856698597,41059.9450916723,41126.6128435587
BTN,2211.3405131025,2495.3869750204,2458.3958275928
BWA,6980.3618120030005,7734.0339350044,7254.5604713554
CAF,456.56340866830004,494.9260802999,479.4709838768
CAN,47465.34592734269,51790.5669527216,52409.193125796904
CHE,74276.7184159425,87998.44468492821,83295.2588288573
CHL,12681.765200708798,14510.966095104399,15245.4680040322
CHN,4433.3408863038,5447.3093782655,6092.7818864362
CIV,1311.3265646428,1309.0086255853,1365.8735736247
CMR,1145.3689921082,1256.7105742247,1219.931075149
COG,2920.4067080134996,3414.0547095205998,3153.7395252475
COL,6179.7703294464,7124.548920078199,7762.9708288949
CRI,7773.1854867935,8704.1118874329,9442.664540089001
CUB,5701.962671099101,6051.2220011736,
CYP,27889.0371779788,29206.510596673397,26352.2712209689
CZE,19764.0155413397,21656.3772438581,19670.4026149645
DEU,41723.365902056496,45870.6196144913,43931.6917088564
DJI,1353.1930280729,1463.5922236392,1574.6289679088
DNK,57647.9250160657,61303.9294881868,57636.1253095393
DOM,5295.3996902539,5729.9599619899,5870.769043897801
DZA,4349.5693247426,5271.5903121571,5309.8223686315005
ECU,4636.6930976666,5199.6696155657,5655.9461548035
EGY,2803.5329626527,2972.583515726,3256.0184688791996
ERI,368.7477581969,439.5423714258,504.3234084
ESP,30736.002278173597,31975.0079157042,28992.642071637
EST,14629.649391354,17178.5173804253,17102.2494851316
ETH,343.6901516437,357.44119305239997,472.1603060132
FIN,46202.4151628454,50790.7241454802,47243.7377084632
FJI,3649.38236187,4201.330841943401,4401.0965662043
FRA,40706.0783343071,43809.6564673667,40908.270613322995
GAB,9362.113583164799,11791.5877786077,10929.8796373456
GBR,38363.4414356255,40972.0272875409,41053.7449357098
GEO,2613.7569247276997,3219.6058711035,3528.7315108497996
GHA,1326.0920329681,1594.0228145564001,1645.5162925409
GIN,435.44888801220003,454.0022775645,493.4899526268
GMB,566.3481084099,521.1952440068,509.38759083639997
GNB,534.1475780568001,679.4932984902999,576.3898488787
GNQ,16638.1310666904,21963.4075372852,22404.7546543758
GRC,26861.4598001007,25963.996385553302,22494.4129346251
GRL,,,
GTM,2882.3860258895,3240.3759129318,3340.7823014865003
GUY,2873.9520080046996,3257.8848644106,3584.6934893790003
HND,2078.3257595498003,2277.3665149494,2339.2924389552
HRV,13500.854429365801,14540.273540394799,13234.6217607123
HTI,669.1869294459,749.2211755539,775.5446240642
HUN,12958.5303569653,13983.497642808401,12784.2956085361
IDN,2946.6560612257,3469.7537260555,3551.4237368236
IND,1417.0736138017999,1539.6064467198,1503.0037026228
IRL,47900.83928926,51951.59193540941,48391.3257292512
IRN,5674.923927350899,7006.0471834572,6578.1215263539
IRQ,4473.7104398813,5848.5373889703005,6631.558744536899
ISL,41695.9936503703,45972.256631978606,44221.7254808422
ISR,30550.9204038231,33276.3593840767,32514.5514298813
ITA,35875.726550114305,38367.3211590401,35132.1915164155
JAM,4917.0232018308,5346.2193393052,5463.7620068211
JOR,4370.7210447601,4665.9542760527,4909.0281014878
JPN,43117.8296736939,46203.698037277994,46679.265432230306
KAZ,9070.6499719999,11357.945490694,12120.3053397012
KEN,977.7787074189,998.2654056511999,1165.7449384924
KGZ,880.0377751191,1123.8831680627,1177.9747348785002
KHM,782.6188885928,878.3830177919,945.4946463887
KOR,22151.2091243861,24155.8293044196,24453.971348043902
KWT,38584.4795961269,49294.9668618187,53544.043443656105
LAO,1122.8523155894,1265.7093442983999,1408.2799995013002
LBN,8755.8499678782,9144.6176157499,9764.1106066556
LBR,326.60428044509996,376.9284543864,413.75857273559996
LBY,12375.4495267956,5685.4122271929,13302.790848249198
LKA,2400.0155749726,2835.6899673117,2921.7363452544
LSO,1083.0120650991,1225.5892378017,1134.850210352
LTU,11852.1696016454,14227.685538374499,14172.2812261274
LUX,102856.97171728099,113738.72604854,106022.799072463
LVA,11446.5081773717,13827.3602570148,13946.9658871232
MAR,2822.7337391485,3044.1078875843,2899.9749240614
MDA,1631.5358317953,1970.8400028645,2046.5367866510999
MDG,414.14278721870005,456.3278968222,444.9546285113
MEX,8920.6890162414,9802.8943526066,9817.8374889029
MKD,4442.2999721783,4940.9533453547,4548.1555527616
MLI,673.6946613815,738.554478047,696.1823129236
MLT,19695.2557239007,22346.3184053234,21129.9827706832
MMR,,,
MNE,6636.0705378101,7253.3592486999,6514.1486432339
MNG,2285.6453775170003,3181.1044007767,3691.0522623337
MOZ,424.134901966,538.8178792029,593.2909771221
MRT,977.1507912305,1117.0262957953998,1042.8228667160001
MWI,359.5795268367,364.0877729155,266.5889655698
MYS,8754.242819626701,10068.107257425401,10439.9649059721
NAM,5177.6811792211,5597.1720410385,5770.3079644202
NCL,,,
NER,359.8012419579,388.16488195330004,385.3427082004
NGA,2310.8605177653,2507.6829693584,2742.2193406514
NIC,1535.1921670004,1676.2627445541,1776.6058024848999
NLD,50338.2548273725,53540.6053553521,49128.0872747404
NOR,86096.1360194614,99091.09449928551,99635.87453147529
NPL,595.7716261127999,694.1411512408,699.0804821273
NZL,32846.4544303792,37192.691504366405,38678.4112736152
OMN,20922.6567730286,22984.188952097702,23384.805799834503
PAK,1023.1957561358,1212.418884462,1252.4195233925
PAN,7833.9035509368005,8895.1849085176,9982.4815683007
PER,5075.4766702845,5759.409077095401,6423.562054514
PHL,2135.9184073707,2358.0722514137,2587.6165574567003
PNG,1382.1437493388,1767.2386619059,2184.1634610913
POL,12484.0731511432,13607.7393610057,12876.4629871349
PRI,26437.9921788838,27220.803563194102,27681.6355816511
PRK,,,
PRT,22538.654077348197,23196.1837500759,20732.6138456957
PRY,3100.8351186441996,3814.2131634609004,3680.2320590558
QAT,71510.1557462574,88861.001472566,92801.0389983756
ROU,8139.1466733563,9063.6760309077,8437.4338302651
RUS,10709.7693638339,13324.287840151399,14090.648915483402
RWA,525.854927803,574.88746685,630.1083981004
SAU,19326.5825548176,24116.1741324844,25945.9663284237
SDN,1439.5231848618,1617.4528882536,1697.8523230281
SEN,998.5995763827001,1083.2616754850999,1023.2885718758
SLB,1294.6927321719,1614.4590791995001,1801.1556007774
SLE,448.22153214120004,498.7462140507,590.3180567341001
SLV,3444.4561484482,3698.5461879512,3781.5007287140998
SOM,,,
SRB,5399.2976195801,6422.7137396348,5666.2047930451
SSD,1582.1505029786,1814.0252524329,956.7508860021001
SUR,8321.3921968213,8349.4153296356,9378.1960654661
SVK,16509.8966739977,18065.663063824,17151.2399694712
SVN,23417.6446557068,24964.822238359,22488.444150763302
SWE,52076.2559134864,59593.287111971906,57134.0770682404
SWZ,3261.5932627175,3420.1554717929,3289.7144689654997
SYR,,,
TCD,909.2999069164999,1006.3197705477,1035.2579459749002
TGO,503.1618239917,580.3224088039,589.4620890376
THA,4802.6627576621,5192.1189066953,5479.760580074199
TJK,739.7321918041,834.6586565971,953.0602225864999
TKM,4392.7195833075,5724.541586281601,6797.734306975301
TLS,875.8365692713,1002.3277567137,1105.3493687324
TTO,15630.050454208,17760.6090902727,17523.2982737397
